0 0 0 0.00171526586620926 0 0.00686106346483705 0 0.00343053173241852 0.0222984562607204 0.0411663807890223 0.0274442538593482 0.0943396226415094 0.104631217838765 0.0771869639794168 0.0566037735849057 0.0891938250428816 0.0480274442538593 0.0222984562607204 0.0257289879931389 0.0120068610634648 0.0102915951972556 0.00857632933104631 0.0240137221269297 0.0205831903945112 0.0240137221269297 0.032590051457976 0.0377358490566038 0.0102915951972556 0.0240137221269297 0.0120068610634648 0.0102915951972556 0.0154373927958834 0.0154373927958834 0.0188679245283019 0.0222984562607204 0.0137221269296741 0.0137221269296741 0.0102915951972556 0.0120068610634648 0.00514579759862779 0.00171526586620926 0.00343053173241852 0.00171526586620926 0.0188679245283019
#- #-p


#==========================================================================================================================
# Trawl Survey Age Composition
#==========================================================================================================================
#! Number of years: nyrs_srv1_age
13
#- Trawl Survey age comp years: yrs_srv1_age #!
1984 1987 1990 1993 1996 1999 2001 2003 2005 2007 2009 2011 2013
#- Number of samples: nsamples_srv1_age(1,nyrs_srv1_age) #!
356 497 331 242 462 278 466 216 417 605 651 430 495
#- Number of hauls: nhauls_srv1_age(1,nyrs_srv1_age) #!
6 17 12 17 19 27 85 22 72 82 69 74 68
#- Index for age-age error matrix #!
1 1 1 1 1 1 1 1 1 1 1 1 1
#- #!p Observed trawl survey age compositions (proportions at age): oac_srv1(1,nyrs_srv1_age,1,nages) #!
0 0 0 0.0142038453943012 0.039834586451135 0.0912244859427514 0.190539428118134 0.111647226305252 0.0513803964977051 0.0458127363097117 0.0258574737252245 0.070727597698026 0.0669760608758301 0.0626115000429473 0.0395578433125738 0.019156662850956 0.0186114456906634 0.00568587843006875 0.00745648777673249 0.00331024425641592 0.00967683504732312 0.0313831256710172 0.0208635098601764 0.00639303566551247 0.00315316033218521 0.0102723115751077 0.00353956881196244 0.00909353341552492 0 0.00401887046617982 0.0134512209232673 0.00262335540994852 0 0.00262335540994852 0 0.00397066254059868 0 0 0.00606370718952194 0.0047402791913343 0 0.00353956881196244 0 0
0 0.00332443182070348 0.0178535600947289 0.0551516277663294 0.0405003992635282 0.0296327693201379 0.00283275741080073 0.0288123060558942 0.101090766885684 0.112118961192658 0.111594540373808 0.0343570110351782 0.042794657030597 0.0140303392891126 0.0366365922621109 0.103148403747183 0.0408810496432536 0.0798109420443433 0.0272193535317416 0.0255253210699182 0.00695959283070042 0.00651068925783032 0.00291551566737201 0.00391492697995622 0.0173994056876476 0.0258191723400796 0.012029230794335 0.00309212967311829 0.00229767278891088 0.00523051701639415 0 0.00197319213315087 0.00310248223669311 0.000241819501872421 0 0 0 0 0 0 0.00109295560041908 0 0.000104907653809348 0
0 0.000646639698560963 0.00189303288377442 0.029121872630221 0.0541582286873001 0.026529220194045 0.0407575848377941 0.0538051177701412 0.0446808473690761 0.0577165545668607 0.0351817351908591 0.0536349497936856 0.0824239068130311 0.0970959230881679 0.0508498557990074 0.0507551946406696 0.00671449038604097 0.011214248574198 0.0655715775871143 0.0663047073154443 0.045754698386744 0.0191602393759191 0.00894479281700742 0.00972657213619613 0.0336639661614977 0.00636655831323098 0.0116854832706137 0.00183464491551858 0.00976409536625513 0.00956794804023998 0.0090439964484487 0.00543131694233677 0 0 0 0 0 0 0 0 0 0 0 0
0.000326836968457471 0.00276446637453756 0.00306204896523431 0.00854535197530778 0.0107383365326244 0.0108633080567139 0.0634441890064714 0.119769626795303 0.0653422453680764 0.103083007466562 0.0444454997627999 0.0489518409632635 0.0401670425195959 0.0243840278096382 0.0519359127287197 0.0314004927790859 0.0396654602919428 0.0281007281001048 0.00401998682834227 0.0232428617047507 0.0340894738567422 0.0444839091944324 0.0445692364734113 0.0464223254724599 0.00689029300972614 0.016816290725741 0.0222250139568047 0.00569250057304885 0 0.00244872497766048 0.00953401398236626 0.0053711614289739 0.00565415046601796 0.0055948361232746 0.00938171754545133 0.00124013682794231 0 0.013759888815608 0.00157305557280706 0 0 0 0 0
0.00253678705602108 0.00247609999362522 0.00129645843331369 0.00211392313660597 0.0111971656033376 0.00573187231208482 0.0206684124441077 0.0410695392309564 0.053119759704022 0.085268813529227 0.0758639847438899 0.0773004138974916 0.040273349462953 0.0329026402045546 0.0387662665332044 0.0165232669812487 0.0340966233340673 0.0544657648567228 0.0878763148849685 0.0277009371151121 0.0306749364036647 0.0302690433801026 0.0333612746611179 0.02687041266226 0.0522304520311863 0.0136173912352376 0.014737271216577 0.0275356085951773 0.00566995805821307 0.00748754291680112 0.00422476970972252 0.014518237892493 0.00747125258989493 0.00475580971814028 0 0.00657019194861892 0 0.00170914556070581 0 0 0.00294828931756658 0.00410001864500585 0 0
0 0.000126128857592081 0.00157561814222072 0.0105398570709555 0.00271016130986699 0.00944403440650066 0.00894192914327997 0.0423061498994932 0.0276740035612105 0.0792507162497971 0.0691742195088241 0.0542263139997627 0.0561767014956752 0.0782321497701033 0.0915791424868524 0.0156440982869654 0.0720918188120872 0.0187834827583006 0.0130075281141642 0.0300184262105806 0.0219380310300576 0.0250813070742684 0.0302587711148528 0.0196249740182718 0.0149974209466013 0.0335036855573235 0.0247952822754025 0.0240075293439537 0.0164998767865469 0.0238771694186671 0.0454281965459682 0.0100516654135068 0.00831394620148154 0 0.00293493748059631 0 0 0.0124416902171905 0.00178881008382285 0.00295422640725578 0 0 0 0
0.000116125898870244 0.00502758901280102 0.00254163003540884 0.0055143012981492 0.0130815379544158 0.0405483878405276 0.0156682496436614 0.0384303544617655 0.0724864042644362 0.0605125680359608 0.0398474146344488 0.0627482301367835 0.0488976917479856 0.0502188224407444 0.0539184941872985 0.0445200267903788 0.0581509329827566 0.0287517613935841 0.0221253375847872 0.0165204313324157 0.0115770274498874 0.026568942976963 0.0448128712320506 0.0287274862145798 0.0424106569092658 0.0122283287721904 0.0090126531443695 0.0241658822152719 0.0206448469559078 0.013684540161146 0.018888576205653 0.0108443436314127 0.00797062261493937 0.0166566583286834 0.00380080719489638 0.000206152304594792 0 0.0017473094061782 0.0104881179115485 0.00907700378064731 0 0 0 0.00686088091263446
0 0.000604205089266591 0.00145825686293631 0.0347239937625667 0.0209755397459155 0.0144324041830669 0.0963405136557724 0.126206212953872 0.056427196539499 0.0360285208461903 0.0291428341540733 0.0213232402049983 0.0513724654323841 0.0332860856692952 0.0427464477220075 0 0.0175911000162802 0.0296337527593399 0.0610910583742766 0.0118984707210568 0.0205300956754869 0.0106341194724518 0.00657100869333157 0.0135045848940452 0.0252646702687593 0.0299268700282125 0.0538715021750285 0.0345379331462711 0.0156448202738331 0 0 0.0414939335143751 0.00991812489244371 0.0122545175814048 0.00691840401640054 0.018934751025558 0 0.00328993075172487 0.0114224348978749 0 0 0 0 0
0 0.000137081726248999 0.00108966744073487 0.00140873561626369 0.0143527298527334 0.0370369486682887 0.0519155377099056 0.0466542814533209 0.061093066818315 0.0465507473861807 0.0332724423783029 0.0110565240123071 0.0208814102590071 0.0118745392414172 0.0196879661250365 0.0321029918438983 0.0305922859251212 0.00808609684400075 0.0387183201117984 0.046392885707508 0.0185926794752569 0.0124565747001836 0.0116614101439922 0.021224119073879 0.0252187242057077 0.0216711501592111 0.0373659657484618 0.0357838337320371 0.0383384112674904 0.0231060742357165 0.0397639022503442 0.0182454386429407 0.046437539967979 0.0272032222538082 0.0240503170008618 0.0113949098155339 0.00511725612606284 0.0108578879177686 0.011181211883149 0.00439759680230229 0 0.00405370838450649 0.0132291189405122 0.0257446881519053
0.00013389162635611 0 2.16791370138101e-05 0.000831567912319146 0.00675236264932089 0.00365364308841534 0.0286293330559306 0.0906820600770318 0.0575365496324883 0.0742865992514558 0.0633970119680928 0.0828299202267846 0.0310100791404085 0.0174978363442192 0.0260439111846838 0.0202096361066086 0.0102908253426328 0.0200556521300085 0.0278297345199542 0.0327737738078304 0.0379432061303423 0.0489956711823414 0.0109629366253285 0.011550599683247 0.0138415910162331 0.0267109916925179 0.0282424983437475 0.0297872281246814 0.0333067287904068 0.0243497809849926 0.0157306535106551 0.0101318666849654 0.0194863789708318 0.014446579810511 0.0232997624497873 0.00863464101731768 0.0135043423654 0.00483241173448824 0.00964356952356964 0.00361199609939903 0.00138382077791372 0.00219394207402479 0.00295826378872421 0.0099844714170185
0 0 0.00035878335633331 0.00269348324813429 0.000201337948294964 0.00686390678542076 0.0152074913181424 0.0223971642106876 0.0505565939574068 0.0706357103439596 0.0530430521588965 0.0595868372136164 0.0624603398131262 0.0379475194901838 0.0337720933058377 0.0205674285498252 0.0334943613279371 0.0325080582383425 0.0274230095968117 0.0161733159186502 0.00987886451433723 0.0273086914043345 0.0409038916010275 0.0458754430085988 0.0264819515021562 0.0169202668838775 0.0141115107206669 0.0301414044289862 0.0134782979162883 0.0116034479388029 0.0246236232357752 0.0222047701191447 0.0105058595972206 0.0121612090535808 0.0211347952423052 0.0194103814130365 0.0279787275034084 0.0131746635886922 0.0102867621143773 0.00813252105061928 0.00654833144887143 0.00541383619164915 0.00686033473724893 0.0289699280033871
0 0 0.00139522510884725 0.00011961061433803 0.00011961061433803 0.000254261181470006 0.00185056162243008 0.00308265254499291 0.0149176487640344 0.0190508131027649 0.0227228041543773 0.0402554950796988 0.0396139349664076 0.0209648881713519 0.028070205472823 0.0594012950960679 0.0167389004893731 0.0164080625361598 0.0234679226967582 0.0220553025543178 0.0288959999023406 0.021124701002988 0.0393850792103168 0.0311438142612869 0.0146638535163238 0.0468012218200199 0.0340414184384924 0.0179741568438517 0.0267762282482357 0.023202298824536 0.0219911006287847 0.024635189178849 0.0302018827022287 0.05233344315755 0.0357505459888485 0.035146539117006 0.0391139361951446 0.0166887674643916 0.0192085398018362 0.0304112030180793 0.0281491667713345 0.0143144764106648 0.00799145677227258 0.0295657859540667
0 0 0 0.000137014155066519 0.001124085137892 0.00441599888398053 0.00350530148841568 0.00165315185056738 0.00609013961902337 0.0231233079128214 0.0276798239584048 0.0321181454420681 0.0379744907273632 0.0518205452125209 0.0696676318087669 0.044416091580346 0.0703222135055914 0.0311634991915238 0.036556330631801 0.0129458162030994 0.022795835818048 0.0294605768125145 0.0330277307785945 0.029693547384599 0.0112114327955049 0.0327176942542629 0.0321498749378642 0.0354293132423728 0.0151213829848759 0.0374616440609377 0.00208628029994929 0.0138526776375057 0.0238534633708539 0.00879788657047102 0.0310065481501321 0.035669427001989 0.0169647290240767 0.0194804528137503 0.0118514622108538 0.0176507771581571 0.0231305685388799 0.00681738489462386 0.00271677959929972 0.052338942350631
#- #-p


#==========================================================================================================================
# Fishery Size Composition
#==========================================================================================================================
#! Number of years: nyrs_fish_size
12
#- Fishery size comp years: yrs_fish_size #!
1991 1992 1993 1994 1995 1996 1997 2003 2007 2009 2011 2013
#- Number of samples: nsamples_fish_size(1,nyrs_fish_size) #!
15321 15207 10732 8138 11537 7942 5261 6025 7101 6045 5121 6418
#- Number of hauls: nhauls_fish_size(1,nyrs_fish_size) #!
147 125 94 90 121 108 73 374 489 456 403 500
#- Index for size-age error matrix #!
1 1 1 1 1 1 1 1 1 1 1 1
#- Observed fishery size compositions (proportions at length): osc_fish(1,nyrs_fish_size,1,nlenbins) #!
0 0 0 0 0 0 0.000195809672997846 0.000195809672997846 0.000391619345995692 0.000587429018993538 0.00195809672997846 0.00300241498596697 0.00352457411396123 0.00731022779191959 0.0103126427778866 0.022909731740748 0.0407936818745513 0.0717316102082109 0.123229554206644 0.180275438940017 0.195548593433849 0.145094967691404 0.0906598785980027 0.102277919195875
0 0 0 0 0 0 0 0 0 0 6.57591898467811e-05 0.000197277569540343 0.000263036759387124 0.00111790622739528 0.00282764516341159 0.00631288222529098 0.0149930952850661 0.0320904846452292 0.0526731110672716 0.0937726047215098 0.139080686525942 0.156769908594726 0.154205300190702 0.345630301834681
0 0 0 9.3179276928811e-05 0 0 0 0 0 9.3179276928811e-05 0.000372717107715244 0.00093179276928811 0.00102497204621692 0.00214312336936265 0.00531121878494223 0.0104360790160268 0.023667536339918 0.0459373835259038 0.0790160268356318 0.108647036898994 0.156261647409616 0.165765933656355 0.127376071561685 0.272922102124488
0 0 0 0 0 0 0 0.000122880314573605 0 0 0 0.000122880314573605 0.000614401572868027 0.00172032440403047 0.00356352912263455 0.0070041779306955 0.0165888424674367 0.0302285573851069 0.0697960186778078 0.116244777586631 0.174612927009093 0.199434750552961 0.170926517571885 0.209019415089703
8.66776458351391e-05 0 0 8.66776458351391e-05 0 0.000173355291670278 8.66776458351391e-05 0.000433388229175696 0.000693421166681113 0.00208026350004334 0.00424720464592182 0.00684753402097599 0.00918783045852475 0.0079743434168328 0.0102279622085464 0.0128282915836006 0.0152552656669845 0.0213227008754442 0.0432521452717344 0.0807835659183497 0.127416139377655 0.156366473086591 0.164340816503424 0.33630926584034
0 0 0 0 0 0 0 0 0 0.00025182573659028 0.00025182573659028 0 0.00113321581465626 0.00163686728783682 0.00277008310249307 0.00667338201964241 0.00616973054646185 0.0132208511709897 0.0280785696298162 0.0582976580206497 0.12200956937799 0.176907579954671 0.1891211281793 0.393477713422312
0 0 0 0 0 0 0 0 0 0.0015206234556168 0.00646264968637141 0.0138756890325033 0.0201482607869226 0.0210986504466831 0.0210986504466831 0.0191978711271621 0.0144459228283596 0.0150161566242159 0.0290819235886714 0.0541722106063486 0.114807070899069 0.159095229043908 0.173351073940316 0.33662801748717
0 0 0 0 0 0 0 0.00016597510373444 0 0.000497925311203319 0.000829875518672199 0.00132780082987552 0.00215767634854772 0.0024896265560166 0.00680497925311203 0.0116182572614108 0.0305394190871369 0.0453112033195021 0.0705394190871369 0.0748547717842324 0.084149377593361 0.0751867219917012 0.0833195020746888 0.510207468879668
0 0 0 0 0 0 0 0 0.00014082523588227 0.00014082523588227 0.00028165047176454 0.00042247570764681 0.00126742712294043 0.00168990283058724 0.00239402900999859 0.00732291226587805 0.00887198986058302 0.0233769891564568 0.0383044641599775 0.0597099000140825 0.0851992677087734 0.104773975496409 0.124207858048162 0.541895507674975
0 0 0 0 0 0 0 0 0 0 0.000165425971877585 0.00033085194375517 0.000827129859387924 0.000661703887510339 0.000661703887510339 0.0043010752688172 0.00860215053763441 0.0104218362282878 0.0198511166253102 0.0383788254755997 0.0767576509511993 0.0982630272952854 0.110504549214227 0.630272952853598
0 0 0 0 0 0.000390548720952939 0 0 0.000195274360476469 0.000195274360476469 0.000195274360476469 0 0.000390548720952939 0.000390548720952939 0.000976371802382347 0.000781097441905878 0.00214801796524116 0.00488185901191174 0.0113259129076352 0.0230423745362234 0.0513571568053115 0.0757664518648701 0.102714313610623 0.725248974809607
0 0 0 0 0 0 0 0 0.000467435338111561 0.000623247117482082 0.000623247117482082 0.00124649423496416 0.00124649423496416 0.0015581177937052 0.00280461202866937 0.00296042380803989 0.00560922405733873 0.00358367092552197 0.00856964786537862 0.0193206606419445 0.0355250856964787 0.0660641944531007 0.0986288563415394 0.751168588345279
#-


#==========================================================================================================================
# Trawl Survey Size Composition, NOT USED IN MODEL
#==========================================================================================================================
#! Number of years: nyrs_srv1_size
14
#- Trawl Survey size comp years: yrs_srv1_size #!
1984 1987 1990 1993 1996 1999 2001 2003 2005 2007 2009 2011 2013 2015
#- Number of samples: nsamples_srv1_size(1,nyrs_srv1_size) #!
4235 9584 3091 4384 4239 3471 3810 2941 4556 4723 2849 2460 3138 2325
#- Number of hauls: nhauls_srv1_size(1,nyrs_srv1_size) #!
50 82 48 106 131 124 106 126 147 139 132 89 86 95
#- Index for size-age error matrix #!
1 1 1 1 1 1 1 1 1 1 1 1 1 1
#- Observed trawl survey size compositions (proportions at length): osc_srv1(1,nyrs_srv1_size,1,nlenbins) #!
0.0097549821981129 0.00721019502281551 0.00508954610483977 0.00810386246576968 0.00583582719811996 0.00463875797766043 0.00283806284962949 0.00530220839435593 0.00777519486040242 0.0168061536201878 0.0223006308689383 0.0266234600767437 0.045137309676572 0.0518948664752546 0.0893639197199151 0.0951581409208963 0.102164260363721 0.0930012950678675 0.0744987296471682 0.059504964897588 0.0508737824314228 0.0579366193503194 0.0486746526831349 0.109512577128565
0.00351375717339533 0.00377847000279694 0.00479304655263493 0.00429723987596114 0.00495234860738649 0.00802093456949589 0.0093842929657459 0.00993806176899763 0.0116218009577468 0.0130688661346683 0.0150784369103512 0.0150459520729498 0.0173303092981286 0.0224754797586366 0.0437501288041268 0.0713935007288691 0.117802064775594 0.139715875528918 0.130440244840199 0.121695609501085 0.0866154436021889 0.0674853156180099 0.0341759679363572 0.0436268520157566
0.000593061917860799 0 0.000203262245319157 0 0.000552228838124579 0.000658135106442689 0.00133371359825542 0.00341560735237507 0.00547085478613731 0.0117858744941962 0.0112705892432272 0.0297387042839755 0.0243408137417065 0.0165900438825738 0.0171389303940231 0.0127795871096626 0.0223576405831713 0.0381804853503976 0.0899662245693603 0.125642173354051 0.138953190405073 0.118235880690356 0.101613178254825 0.229179819798886
